,from_id,to_id
0,realDonaldTrump,JudgeJeanine
1,JudgeJeanine,AndrewCMcCarthy
2,JudgeJeanine,GregGutfeldShow
3,JudgeJeanine,jsolomonReports
4,JudgeJeanine,PeteHegseth
5,JudgeJeanine,TheNatPulse
6,JudgeJeanine,Liz_Wheeler
7,JudgeJeanine,TimMurtaugh
8,JudgeJeanine,TommyHicksGOP
9,JudgeJeanine,w_terrence
10,JudgeJeanine,vicdibitetto
11,JudgeJeanine,JennaEllisEsq
12,JudgeJeanine,meshawnmaria
13,JudgeJeanine,DrBobHariri
14,JudgeJeanine,FrontRowJoe87
15,JudgeJeanine,KimStrassel
16,JudgeJeanine,ZANGTOI
17,JudgeJeanine,ArthurSchwartz
18,JudgeJeanine,RyanAFournier
19,JudgeJeanine,JLo
20,JudgeJeanine,JenGriffinFNC
21,JudgeJeanine,RudyGiuliani
22,JudgeJeanine,LindseyGrahamSC
23,JudgeJeanine,dailybriefing
24,JudgeJeanine,GOPLeader
25,JudgeJeanine,MariaRyanNH
26,JudgeJeanine,DeFrancesco_A
27,JudgeJeanine,CourtneyHadwin
28,JudgeJeanine,AndreaTantaros
29,JudgeJeanine,EmilyCompagno
30,JudgeJeanine,JohnnyAi
31,JudgeJeanine,StephGrisham45
32,JudgeJeanine,STEPHMHAMILL
33,JudgeJeanine,USBPChief
34,JudgeJeanine,trish_regan
35,JudgeJeanine,MyPillowUSA
36,JudgeJeanine,BreitbartNews
37,JudgeJeanine,OANN
38,JudgeJeanine,benshapiro
39,JudgeJeanine,JudicialWatch
40,JudgeJeanine,DLoesch
41,JudgeJeanine,TomiLahren
42,JudgeJeanine,jillianmele
43,JudgeJeanine,JamesOKeefeIII
44,JudgeJeanine,GenChuckYeager
45,JudgeJeanine,CoachLouHoltz88
46,JudgeJeanine,FNC_Ladies_Rule
47,JudgeJeanine,TPUSA
48,JudgeJeanine,peterschweizer
49,JudgeJeanine,JaySekulow
50,JudgeJeanine,SaraCarterDC
51,JudgeJeanine,RepLeeZeldin
52,JudgeJeanine,RepMattGaetz
53,JudgeJeanine,DevinNunes
54,JudgeJeanine,MarkMeadows
55,JudgeJeanine,Jim_Jordan
56,JudgeJeanine,DiamondandSilk
57,JudgeJeanine,dbongino
58,JudgeJeanine,GreggJarrett
59,JudgeJeanine,centerstreet
60,JudgeJeanine,BoldTV
61,JudgeJeanine,RitaCosby
62,JudgeJeanine,TiffanyATrump
63,JudgeJeanine,VicToensing
64,JudgeJeanine,SebGorka
65,JudgeJeanine,RealCandaceO
66,JudgeJeanine,kanyewest
